#KEY	Filter on data 192: Filtered BAM	Filter on data 184: Filtered BAM	Filter on data 182: Filtered BAM	Filter on data 194: Filtered BAM	Filter on data 188: Filtered BAM	Filter on data 196: Filtered BAM	Filter on data 190: Filtered BAM	Filter on data 186: Filtered BAM
TU5126	56	51	49	59	61	18	29	24
TU5127	859	686	801	763	895	327	394	380
TU5128	78	85	81	73	104	15	47	47
TU5129	353	254	363	283	361	111	169	164
TU513	718	804	740	533	605	571	502	368
TU5130	23	15	22	28	25	15	15	18
TU5131	42	36	37	21	56	21	17	11
TU5132	0	0	0	0	0	0	0	0
TU514	1184	1049	1027	1240	1519	1097	1003	944
TU515	425	347	569	401	453	414	469	428
TU516	165	165	165	199	232	178	162	122
TU517	1045	808	1047	986	1365	561	469	494
TU518	90	110	113	56	60	98	66	55
TU519	10	2	19	12	6	8	7	6
TU52	1217	1260	1176	974	1228	1039	920	772
TU520	1428	1298	1766	1361	1525	1384	1036	944
TU521	46	58	68	35	43	31	35	53
TU522	82	63	91	64	67	78	70	44
TU523	41	32	37	26	42	37	36	21
TU524	2149	1094	2065	1603	1993	1086	1241	1193
TU525	279	301	233	218	202	243	281	237
TU526	77	89	93	55	65	72	53	33
TU527	60	52	66	43	66	41	52	47
TU528	3929	3557	3963	3166	3442	3633	4416	3555
TU529	62	37	49	42	58	29	27	21
TU53	87	56	55	37	67	32	53	51
TU530	1696	1169	1596	1010	1257	1146	1393	1278
TU531	499	350	344	491	796	416	517	628
TU532	771	689	888	564	667	674	484	464
TU533	733	696	791	715	716	653	527	495
TU534	3099	3101	3132	2319	2645	4758	3328	3045
TU535	145	79	137	96	139	81	157	143
TU536	10	15	16	20	15	13	18	21
TU537	1189	1222	1365	942	1157	1402	837	848
TU538	43	36	67	35	63	17	33	24
TU539	198	214	156	101	148	153	242	141
TU54	10	21	19	11	11	8	17	4
TU540	116	57	85	84	127	37	68	56
TU541	2850	2201	2805	2937	2724	2075	2349	2047
TU542	6565	6127	7138	5647	6456	5382	5333	4196
