"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"3UTR","3UTR","3UTR",22,0.733214321655605,2.14082305036562,1.0257912642279e-05,4.10316505691159e-05,2.15956055626926e-05,254,"tags=55%, list=6%, signal=52%","6803t11_3'UTR/slr2051_3'UTR/sll1471_3'UTR/slr1964_3'UTR/ssl0563_3'UTR/sml0007_3'UTR/Norf1_3'UTR/slr0493_3'UTR/slr0993_3'UTR/sll0080_3'UTR/slr0927_3'UTR/slr0483_3'UTR"
"ncRNA","ncRNA","ncRNA",224,0.315906152251216,1.42008740738835,0.00974622446723138,0.0194924489344628,0.0102591836497172,672,"tags=29%, list=15%, signal=26%","ncl0160/ncr1200/ncr0700/ncr1010/ncl0170/ncr0710/ncl0350/ncl1570/ncl1010/ncl1490/ncr0290/ncr0450/ncr1680/ncl0690/ncl1230/ncl1530/ncl0820/ncr0280/ncl1690/ncr0030/ncl1310/ncl0230/ncr1071/ncl0610/ncl0100/ncl1110/ncr1340/ncr0730/ncr1170/ncr0520/ncl0200/ncr1450/ncr0560/ncr1570/ncr0900/ncl0800/ncl1060/ncr0300/ncl0270/ncl0020/ncl1725/ncl0740/ncr0640/ncr0470/ncr1080/ncl1450/ncl1020/ncl1520/ncr0075/ncl0280/ncr0800/ncr1350/ncl1280/ncl1080/ncl0310/ncl0640/ncl0140/ncr0220/ncr1690/ncr0460/ncr1650/ncl0790/ncl0880/ncl1340/ncl0580/ncl1350"
