"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"AP004310.1","AP004310.1","AP004310.1",114,0.790364258565839,2.95622908030636,1e-10,2e-10,5.26315789473684e-11,453,"tags=74%, list=12%, signal=67%","TU5060/TU5071/TU5018/TU5051/TU5016/TU5001/TU5104/TU5061/TU5076/TU5078/TU5062/TU5004/TU5065/TU5026/TU5064/TU5056/TU5107/TU5021/TU5058/TU5105/TU5045/TU5050/TU5028/TU5006/TU5075/TU5102/TU5073/TU5007/TU5066/TU5047/TU5011/TU5131/TU5030/TU5069/TU5059/TU5048/TU5120/TU5053/TU5012/TU5005/TU5124/TU5010/TU5003/TU5019/TU5103/TU5068/TU5117/TU5128/TU5067/TU5126/TU5096/TU5129/TU5118/TU5041/TU5127/TU5034/TU5020/TU5125/TU5044/TU5057/TU5121/TU5122/TU5015/TU5038/TU5037/TU5027/TU5055/TU5023/TU5119/TU5054/TU5093/TU5110/TU5081/TU5080/TU5013/TU5046/TU5089/TU5032/TU5077/TU5092/TU5087/TU5112/TU5025/TU5100"
"AP004311.1","AP004311.1","AP004311.1",90,0.907220095870545,3.28128254076046,1e-10,2e-10,5.26315789473684e-11,217,"tags=86%, list=6%, signal=83%","TU7089/TU7088/TU7028/TU7086/TU7087/TU7065/TU7009/TU7014/TU7075/TU7091/TU7020/TU7045/TU7064/TU7039/TU7035/TU7010/TU7046/TU7073/TU7013/TU7011/TU7012/TU7090/TU7015/TU7096/TU7021/TU7040/TU7062/TU7071/TU7077/TU7095/TU7053/TU7066/TU7063/TU7094/TU7056/TU7041/TU7024/TU7072/TU7052/TU7037/TU7048/TU7069/TU7050/TU7058/TU7047/TU7061/TU7018/TU7093/TU7079/TU7038/TU7068/TU7008/TU7025/TU7026/TU7005/TU7051/TU7044/TU7078/TU7092/TU7057/TU7085/TU7049/TU7082/TU7016/TU7019/TU7083/TU7081/TU7029/TU7002/TU7080/TU7032/TU7074/TU7022/TU7043/TU7067/TU7036/TU7059"
"AP006585.1","AP006585.1","AP006585.1",40,0.723245246084576,2.29446234861277,1.58090610935064e-07,2.10787481246752e-07,5.5470389801777e-08,398,"tags=57%, list=11%, signal=52%","TU6085/TU6099/TU6040/TU6042/TU6038/TU6098/TU6084/TU6033/TU6029/TU6043/TU6103/TU6036/TU6037/TU6050/TU6096/TU6046/TU6104/TU6090/TU6052/TU6089/TU6095/TU6032/TU6027"
