"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"ncRNA","ncRNA","ncRNA",236,-0.381492302575242,-1.69367641790441,1.6707595557731e-05,6.6830382230924e-05,NA,948,"tags=39%, list=21%, signal=33%","ncr1450/ncl0900/ncl1480/ncr0470/ncr1680/ncr0800/ncr0730/ncl1120/ncl0390/ncl1370/ncl1380/ncl1680/ncr0780/ncl0030/ncl1130/ncl0860/ncl1470/ncr1470/ncr1160/ncl0270/ncl1580/ncl1045/ncl1640/ncr1480/ncr0330/ncr0220/ncr0075/ncr0930/ncl1620/ncl0980/ncr1610/ncl0200/ncl1180/ncl0410/ncr0810/ncr1650/ncr1220/ncr1550/ncl0170/ncr1030/ncr0320/ncl0350/ncl0850/ncr1460/ncr0310/ncl1790/ncl0100/ncl1010/ncr0760/ncl0440/ncl0650/ncr0200/ncl0810/ncr0575/ncl0720/ncl0880/ncr0070/ncr0740/ncl0190/ncl0800/ncr0250/ncr0380/ncl1350/ncl1300/ncl1110/ncr0860/ncl1170/ncl0370/ncl1590/ncr0280/ncr1200/ncr0900/ncr1690/ncr0700/ncr0460/ncr0560/ncr0480/ncl1490/ncr1350/ncr0870/ncl0570/ncl1570/ncr0210/ncl1500/ncl1280/ncl0160/ncl1190/ncl1330/ncl0490/ncl0560/ncr0520/ncl0540/ncr1180"
"3UTR","3UTR","3UTR",23,-0.589361050011947,-1.74682011471884,0.00486358265043179,0.00972716530086358,NA,547,"tags=48%, list=12%, signal=42%","slr0476_3'UTR/sll1471_3'UTR/Norf1_3'UTR/Norf4_3'UTR/ssl1533_3'UTR/slr2051_3'UTR/slr0483_3'UTR/sml0001_3'UTR/sll1181_3'UTR/ssl0563_3'UTR/sll0080_3'UTR"
"tRNA","tRNA","tRNA",36,-0.479501101638766,-1.54210980322076,0.0175544829763012,0.0181392165516627,NA,244,"tags=25%, list=5%, signal=24%","6803t10/6803t26/6803t01/6803t42/6803t24/6803t33/6803t23/6803t14/6803t36"
"5UTR","5UTR","5UTR",310,-0.28019129992348,-1.28661899106588,0.0181392165516627,0.0181392165516627,NA,880,"tags=28%, list=19%, signal=25%","slr0667_5'UTR/sll1107_5'UTR/slr1564_5'UTR/slr0093_5'UTR/slr0368_5'UTR/slr0877_5'UTR/slr1508_5'UTR/sll0471_5'UTR/slr2102_5'UTR/slr1272_5'UTR/slr2032_5'UTR/sll0849_5'UTR/slr1103_5'UTR/slr2005_5'UTR/sll0639_5'UTR/ssl2598_5'UTR/sll0180_5'UTR/slr0244_5'UTR/slr1644_5'UTR/slr0351_5'UTR/slr0442_5'UTR/sll0284_5'UTR/slr0164_5'UTR/sll1586_5'UTR/sll1558_5'UTR/sll1665_5'UTR/sll1535_5'UTR/slr1834_5'UTR/slr1912_5'UTR/sll1739_5'UTR/slr0713_5'UTR/slr0250_5'UTR/slr0677_5'UTR/slr0114_5'UTR/sll1743_5'UTR/slr0431_5'UTR/slr0924_5'UTR/slr1841_5'UTR/sll0220_5'UTR/slr2052_5'UTR/sll1087_5'UTR/sll0183_5'UTR/ssr3467_5'UTR/slr1645_5'UTR/slr0073_5'UTR/slr1042_5'UTR/slr1634_5'UTR/slr1228_5'UTR/sll1228_5'UTR/sll1251_5'UTR/sll1927_5'UTR/sll1123_5'UTR/sll0051_5'UTR/slr0888_5'UTR/sll1643_5'UTR/sll0247_5'UTR/slr0226_5'UTR/slr1837_5'UTR/slr1918_5'UTR/slr1656_5'UTR/sml0001_5'UTR/slr0280_5'UTR/slr1367_5'UTR/slr0517_5'UTR/sll1915_5'UTR/sll1120_5'UTR/sll0923_5'UTR/slr2053_5'UTR/sll1488_5'UTR/sll1291_5'UTR/sll0945_5'UTR/ssr2998_5'UTR/sll1186_5'UTR/slr1732_5'UTR/slr1928_5'UTR/ssl0563_5'UTR/slr0721_5'UTR/slr0447_5'UTR/sll1882_5'UTR/Norf4_5'UTR/slr0780_5'UTR/slr0738_5'UTR/sll0261_5'UTR/sll1909_5'UTR/slr1423_5'UTR/sll1783_5'UTR/ssr2062_5'UTR/sll0451_5'UTR"
