"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"AP004310.1","AP004310.1","AP004310.1",85,-0.614652503600966,-2.55908491196254,1e-10,4e-10,2.10526315789474e-10,348,"tags=38%, list=12%, signal=34%","TU5028/TU5078/TU5077/TU5034/TU5118/TU5120/TU5012/TU5054/TU5037/TU5068/TU5096/TU5091/TU5035/TU5023/TU5069/TU5005/TU5080/TU5019/TU5056/TU5055/TU5058/TU5033/TU5104/TU5062/TU5071/TU5027/TU5011/TU5076/TU5047/TU5064/TU5051/TU5060"
"AP004311.1","AP004311.1","AP004311.1",73,0.608939607747586,2.32875613707083,1.10423257963807e-08,2.20846515927614e-08,1.16235008382955e-08,408,"tags=47%, list=14%, signal=41%","TU7008/TU7031/TU7085/TU7026/TU7034/TU7042/TU7082/TU7024/TU7065/TU7005/TU7057/TU7043/TU7092/TU7030/TU7012/TU7066/TU7040/TU7025/TU7050/TU7037/TU7083/TU7063/TU7038/TU7052/TU7016/TU7046/TU7084/TU7093/TU7067/TU7035/TU7077/TU7048/TU7054/TU7070"
