"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042651","GO:0042651","thylakoid membrane","12/52","96/2593",2.0160194560844e-07,1.63297575942836e-05,1.44304550540778e-05,"slr1311/sll1814/slr1834/slr1835/sll0851/slr1513/slr1330/sml0008/slr0823/slr1281/ssr2831/sll0199",12
"GO:0015979","GO:0015979","photosynthesis","11/52","86/2593",5.5732141895886e-07,2.25715174678338e-05,1.9946240257475e-05,"sll1214/sll1184/slr2051/sll1578/slr1834/slr1835/slr1986/sml0008/slr0823/sll1091/ssr2831",11
"GO:0018298","GO:0018298","protein-chromophore linkage","7/52","31/2593",1.56866875388363e-06,4.2354056354858e-05,3.74278860575743e-05,"slr1311/sll1578/slr1834/slr1835/sll0851/slr1986/slr1963",7
"GO:0016168","GO:0016168","chlorophyll binding","4/52","10/2593",2.76596367679998e-05,0.000560107644551995,0.000494961921111575,"slr1311/slr1834/slr1835/sll0851",4
"GO:0030089","GO:0030089","phycobilisome","4/52","24/2593",0.00113635276806174,0.0184089148426002,0.0162677869954102,"slr2051/sll1578/slr1986/slr1963",4
